,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
33,https://www.realtor.com/rentals/details/1261-W-75th-St-Main_Cleveland_OH_44102_M95757-20785,9575720785,2975448070,REDI,-OCaGKV_Fl9D835hr_Yq$Main,FOR_RENT,"Welcome to this stunning and stylish two-bedroom, three-bathroom fully furnished home, located in the vibrant neighborhood of Battery Park! This bright and spacious townhome is perfectly situated in the heart of it all. As you enter from the tree-lined street, you'll find a generously sized bonus space ideal for an office or gym, seamlessly connected to a large two-car garage with additional storage. Ascend to the second floor, where newly installed bamboo flooring enhances the beauty of this remarkable home. The modern kitchen features an oversized island, granite countertops, new hardware, stainless steel appliances, and a custom backsplash, making it a chef's dream. The open floor plan is accentuated by a 10-foot ceiling and floor-to-ceiling windows, allowing the kitchen to flow effortlessly into the living rooma bright and versatile space perfect for entertaining and connecting with guests. Just off the living room, a quaint balcony invites you to enjoy peaceful mornings with your coffee in hand. The third level boasts two freshly painted bedrooms, each with ample closet space, complemented by in-suite tiled bathrooms. Dont miss your chance to make this exceptional unit your home before its gone! To prequalify or apply, download the RentRedi app from Google Play or the App Store. You can also visit tenant.rentredi.com/getStarted/apply/ECI491 to apply, or go to tenant.rentredi.com/getStarted/prequalify/ECI491 to prequalify. For applying through the RentRedi mobile app, please follow these steps: Step 1. Tap the Apply button. Step 2. Click the + icon. Step 3. Select whether you're prequalifying or applying. Step 4. Enter in your unit code: ECI-491. Step 5. Click Enter Information and answer the questions. Step 6. Click Send to submit to the landlord. This property is using RentRedi for rent payments. With RentRedi, you can easily submit rent payments, boost your credit by reporting rent payments, sign up for affordable renters insurance, and more from the app!",TOWNHOMES,1261 W 75th St Unit Main,1261 W 75th St,Unit Main,Cleveland,OH,44102,2,3,,1670,,4,2300,2024-11-26,,,,False,,1,41.48621,-81.735985,"Gordon Square Arts District, Detroit - Shoreway",Cuyahoga,39035,,,,Cleveland Metropolitan School District,6.73655155609717,1150.0,16.526946107784433,8.263473053892216
39,https://www.realtor.com/rentals/details/4806-Euclid-Ave-Apt-8_Cleveland_OH_44103_M96884-59511,9688459511,2975374680,RENU,r3385261,FOR_RENT,"Call a Cleveland Landmark your home: The Esmond Apartments on Euclid Avenue. Apartment Association Award winning property with recently renovated suites featuring refinished hardwood floors, private balconies, exposed brick walls, and decorative fireplaces. 1 BR units with private balconies now available at $900, 2BR units available at $1, 100. On site parking and laundry available. Free Wifi, heat, water, trash all included in the rent.The Esmond is located less than a mile from Cleveland State, minutes from Playhouse Square and Downtown Cleveland, and surrounded by new development on the Euclid Technology Corridor. Public transportation is right at your doorstep, making University Circle institutions and employers less than a 15 minute ride on public transit.",APARTMENT,4806 Euclid Ave Apt 8,4806 Euclid Ave,Apt 8,Cleveland,OH,44103,1,1,,550,,7,900,2024-11-23,,,,False,,2,41.503513,-81.654381,MidTown,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Life Skills High School of Cleveland, University of Cleveland Prep, Cleveland Academy For Scholarship Technology And Leadership",2.3860662979687848,900.0,19.636363636363637,19.636363636363637
40,https://www.realtor.com/rentals/details/3893-W-37th-St_Cleveland_OH_44109_M39005-33096,3900533096,2975364893,NEOH,5086883,FOR_RENT,"3895 W 37th St | Right Side Unit, Cleveland - Spacious 4 bed 2 bath multi-family home! // $ 1600 rent / $ 1600 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $169 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // CMHA OK - 4 bdrm voucher; must be prepared with reservation fee to hold the property and moving packet. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 4 // BATHROOMS: 2 // APPLIANCES PROVIDED: Fridge, stove and dishwasher // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,3895 W 37th Side St Unit Right,3895 W 37th Side St,Unit Right,Cleveland,OH,44109,4,2,,1298,1909,8,1600,2024-11-22,124000,22860,149500,False,,1,41.448941,-81.708577,Brooklyn - Centre,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, Horizon Science Academy-Denison Middle School",6.451962047875831,400.0,14.791987673343606,3.6979969183359014
42,https://www.realtor.com/rentals/details/10128-Unity-Ave-2Up_Cleveland_OH_44111_M97881-05296,9788105296,2975361478,NEOH,5086844,FOR_RENT,"10128 Unity Ave | UP, Cleveland - Spacious 2 bed 1 bath multi-family home! // $ 925 rent / $ 925 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,10128 Unity /Up Ave Unit 2,10128 Unity /Up Ave,Unit 2,Cleveland,OH,44111,2,1,,902,1920,8,925,2024-11-22,,,,False,,1,41.458076,-81.754967,West Boulevard,Cuyahoga,39035,2,0,1,"Cleveland Metropolitan School District, Constellation Schools: Outreach Academy For Students With Di",8.248236388128728,462.5,12.3059866962306,6.1529933481153
43,https://www.realtor.com/rentals/details/13309-Larchmere-Blvd_Shaker-Heights_OH_44120_M42230-36169,4223036169,2975360693,NEOH,5086802,FOR_RENT,"Here it is! The perfect rental opportunity to live close to work, shopping, restaurants in a fully updated, spacious townhome in the Shaker Heights' neighborhood of Larchmere Square. Welcome home to an open floor plan with living area, kitchen and half bath on main level. From family room, sliding glass doors open to a private back patio. Sweet spot to BBQ with friends, entertain or quietly enjoy a cup of morning coffee. Upstairs, 2 large BRs have plenty of closet space with a tandem shared full bath. For additional recreation, the lower level is fully finished offering an ideal movie watching, exercise or hang out spot. A second full bath is located here. Washer and dryer stay with unit. First time available for rent. Excellent condition. 2.2 m from UH main campus, 2.6 m from Cleveland Clinic main campus. Shaker Square around the corner, University Circle nearby. Don't miss this one! Come tour today.",CONDOS,13309 Larchmere Blvd,13309 Larchmere Blvd,,Shaker Heights,OH,44120,2,2,1,2176,1993,8,2400,2024-11-22,,,,False,,1,41.479855,-81.5887,"Ludlow, Buckeye - Shaker",Cuyahoga,39035,,,1,"Shaker Heights City School District, Randall Park High School, Wings Academy 2",1.9725184547506205,1200.0,13.235294117647058,6.617647058823529
44,https://www.realtor.com/rentals/details/12411-Harvard-Ave_Cleveland_OH_44105_M34126-06258,3412606258,2975375175,RENU,r3793351,FOR_RENT,"RENT TO OWN opportunity ONLY - Rent for 12 months, owner will finance purchase after that.For inquiry or direct communication, please call us onPurchase price for $115, 000 for 15 or 30years. ONLY after rented for 12monthsCharming 3-Bedroom, 1-Bathroom Home Newly Renovated!This beautifully renovated 3-bedroom, 1-bathroom home offers a fresh, modern living space with updated finishes throughout. Perfectly suited for those seeking a comfortable, move-in ready home in a great location.Key Features:Recently updated kitchen withFreshly painted walls and updated flooringSpacious living room with plenty of natural lightThree well-sized bedrooms with ample closet spaceFull, newly renovated bathroomPrivate backyard, perfect for relaxationAdditional Details:- No pets allowed- Tenant responsible for repairs. There will be a credit of up to $5k towards material only (receipt required) at the time of purchase.- Tenant responsible for utilitiesAvailable for immediate move-inThis home is ideal for individuals or families looking for a cozy, well-maintained space to call their own. Conveniently located near [local amenities, schools, public transportation, etc.], it offers both comfort and convenience.First come!New painted (inside & out), New kitchen, New bathroom, New carpet. Large yard, 2 Car GarageApplicants are expected to provide:- Proof of Income- A Clean Rental History (NO past evictions)Basic Requirements:- Minimum 550 credit score- Monthly income of at least x3 rentFor inquiry or direct communication, please call us on",SINGLE_FAMILY,12411 Harvard Ave,12411 Harvard Ave,,Cleveland,OH,44105,3,1,,760,,7,1200,2024-11-23,37500,9670,63694,False,,2,41.449144,-81.595661,Corlett,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, George V. Voinovich Reclamation Academy, Harvard Avenue Community School",3.863389125969438,400.0,18.94736842105263,6.315789473684211
47,https://www.realtor.com/rentals/details/15521-Kipling-Ave-Apt-3_Cleveland_OH_44110_M41808-48738,4180848738,2975362870,NEOH,5086863,FOR_RENT,"15521 Kipling Ave UNIT 3, Cleveland - Spacious 1 bed 1 bath multi-family home! // $ 500 rent / $ 500 deposit // $49 application fee per adult // 1-2 pets OK with approved PetScreening and PetFee.(Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $99 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // All applicants are required to fill out a PetScreening application, found on our website directly on the application before being processed. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid prior to or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 1 // BATHROOMS: 1 // APPLIANCES PROVIDED: Stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and is responsible for snow removal // No off-street parking for this unit, or on-site laundry // Serious inquiries only.",MULTI_FAMILY,15521 Kipling Ave Apt 3,15521 Kipling Ave,Apt 3,Cleveland,OH,44110,1,1,,500,1918,8,500,2024-11-22,157000,17580,170386,False,,1,41.552778,-81.572092,South Collinwood,Cuyahoga,39035,3,0,,"Cleveland Metropolitan School District, East Academy School District",3.8390309488105774,500.0,12.0,12.0
50,https://www.realtor.com/rentals/details/3254-E-128th-St-B_Cleveland_OH_44120_M93162-86815,9316286815,2975340557,NEOH,5086719,FOR_RENT,"OPEN HOUSE 11/23 at 12pm! Come check out this beautifully remodeled multi-family apartment. This first floor includes new vinyl flooring, and updated kitchen and bathroom, a beautiful back deck and front porch with great space! this first floor unit can be rented for a great price of $875 per month! Call today!",MULTI_FAMILY,3254 E 128th St Unit B,3254 E 128th St,Unit B,Cleveland,OH,44120,2,1,,900,1925,8,875,2024-11-22,,,,False,5998,1,41.470486,-81.593468,Mount Pleasant,Cuyahoga,39035,2,0,,"Cleveland Metropolitan School District, George V. Voinovich Reclamation Academy, Wings Academy 2",2.458838419862428,437.5,11.666666666666666,5.833333333333333
51,https://www.realtor.com/rentals/details/18914-Kewanee-Ave_Cleveland_OH_44119_M38241-61362,3824161362,2937132747,RNTR,6503188,FOR_RENT,"VOUCHER HOLDERS ACCEPTED: Welcome home! Sitting on a quiet street, ready for you to call home. Newer hot water tank, fresh upstairs carpet, newer kitchen counter top, some newer windows, and newer electrical panel. Beautiful hardwood floors in living room, dining room. There is a large upper master bedroom with ample storage. Spacious basement with two storage rooms and glass block windows. Nice front+back yard with a one car detached garage. Please feel out Prescreen Questionnaire",SINGLE_FAMILY,18914 Kewanee Ave,18914 Kewanee Ave,,Cleveland,OH,44119,3,1,,1079,1928,8,1800,2024-11-22,82000,18550,95700,False,,2,41.583613,-81.546573,North Collinwood,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Bella Academy Of Excellence, New Day Academy Boarding & Day School, Lakeshore Intergenerational School",6.343142859417215,600.0,20.018535681186282,6.672845227062094
53,https://www.realtor.com/rentals/details/3328-Euclid-Ave-Apt-404_Cleveland_OH_44115_M92746-98886,9274698886,2975277487,AVAL,61232748,FOR_RENT,"Stockbridge Apartments Cleveland Ohio - Live at the property where the millionaires from Cleveland's history lived. This first floor apartment boasts hardwood floors and tons of historic character but still provides modern amenities like onsite laundry, secured parking, and on the bus line. Near Cleveland State University",APARTMENT,3328 Euclid Ave Apt 404,3328 Euclid Ave,Apt 404,Cleveland,OH,44115,0,2,,294,,9,695,2024-11-21,,,,False,,2,41.502502,-81.663757,MidTown,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, University of Cleveland Prep, Invictus High School School District, Stepstone Academy School District",2.8745671883067963,695.0,28.367346938775512,28.367346938775512
