,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_sqft_ann
14,https://www.realtor.com/rentals/details/3188-W-14th-St-Apt-3_Cleveland_OH_44109_M96227-70458,9622770458,2973226416,TRBO,484979,FOR_RENT,"Tremont/Downtown/Steelyard 3188 West 14th St, unit 3, Cleveland, OH 44109 NO EVICTIONS NO FELONIES NO DOGS NO CRIMINAL ACTIVITY NO SECTION 8 Please contact us regarding this unit ONLY if you are interested in occupancy March 1 or sooner. Third floor. triplex house. 1000 square ft. 2bd, 1 ba. Two large bedrooms with large, lighted semi walk-in closets. Lighted storage closet in living room. New stainless Samsung French door fridge and dishwasher, stainless over-stove microwave, stainless gas stove with griddle, disposal, All new vinyl windows and blinds 220 baseboard heat. Laundry hookups under counter behind curtain for all in one 110v unit. Off-street parking for 2 cars included in rent. We allow cats with a pet deposit in the amount of one month's rent. This is in addition to your regular deposit and is fully refundable with interest upon move-out. Water and sewer submeters installed so you only pay for what you use. Tenant pays gas heat & elec, water/sewer. Two year lease. To apply, visit TurboTenant and search for Property ID 484979",CONDOS,3188 W 14th St Apt 3,3188 W 14th St,Apt 3,Cleveland,OH,44109,2.0,1.0,,1000.0,1892.0,1,1195.0,2024-10-03,,,,False,,1.0,41.467541,-81.691643,Tremont,Cuyahoga,39035.0,,,,Cleveland Metropolitan School District,5.009554533195886,14.34
16,https://www.realtor.com/rentals/details/2413-Tate-Ave_Cleveland_OH_44109_M30533-90392,3053390392,2973255283,NEOH,5075254,FOR_RENT,"JUST ABOUT FINISHED! Come take a look at this spacious 3 bedroom 1 bath home waiting for you today! Whether you are looking to buy or rent, this property is for you! This home is 85% complete being renovated from head to toe. Renovations will be done in under two weeks. Features of this property include new windows, 2 spacious bedrooms on the first floor, tons of natural lighting throughout the entire house and a massive 3rd floor bedroom! The basement is partially finished with a mini bar area in it. This property also highlights a 2 car detached garage, driveway and street parking. Located within close proximity to restaurants, shopping centers, and minutes away from downtown Cleveland! Don't miss this opportunity today! Schedule your showing!",SINGLE_FAMILY,2413 Tate Ave,2413 Tate Ave,,Cleveland,OH,44109,3.0,1.0,,1158.0,1923.0,0,1600.0,2024-10-04,25000.0,24540.0,104000.0,False,4482.0,1.0,41.434607,-81.699844,Old Brooklyn,Cuyahoga,39035.0,,0.0,2.0,Cleveland Metropolitan School District,6.757360782769328,16.580310880829014
17,https://www.realtor.com/rentals/details/2214-E-89th-St-1_Cleveland_OH_44106_M91492-98429,9149298429,2973220334,NEOH,5074993,FOR_RENT,"Unique newly constructed multi-family 3-story apartment building, 4 one-bedroom units on the first floor. Features include large bedroom(s), floor-to-ceiling windows, and walk-in closets. The kitchen features and appliances: dishwasher, garbage disposal, oven/range, refrigerator, microwave and an eat-in kitchen. Other highlights: High speed internet access, washer/dryer, security system, wheelchair accessible (rooms). Available Units: #1 (559 sf) $1, 225.00; #3 (523 sf) $1, 200.00; #5 (523 sf) $1, 200.00; #7 (547 sf) $1, 225.00",APARTMENT,2214 E 89th St Unit 1,2214 E 89th St,Unit 1,Cleveland,OH,44106,1.0,1.0,,559.0,2024.0,1,1225.0,2024-10-03,,,,True,,2.0,41.497963,-81.62484,Fairfax,Cuyahoga,39035.0,1.0,,,Cleveland Metropolitan School District,0.958509162462623,26.29695885509839
18,https://www.realtor.com/rentals/details/2214-E-89th-St-2_Cleveland_OH_44106_M92254-20124,9225420124,2973219456,NEOH,5075125,FOR_RENT,"Unique newly constructed multi-family 3-story apartment building, 4 two-bedroom units on the 2nd floor with bedrooms located on the 3rd floor. Features include large bedroom(s), floor-to-ceiling windows, and walk-in closets; 1.5 bathrooms. The kitchen features and appliances: dishwasher, garbage disposal, oven/range, refrigerator, microwave and an eat-in kitchen. Other highlights: High speed internet access, washer/dryer, security system, wheelchair accessible (rooms). Available Units: #2 (1, 245 sf) $1, 850.00; #4 (1, 120 sf) $1, 800.00; #6 (1, 120 sf) $1, 800.00; #8 (1, 239 sf) $1, 850.00.",APARTMENT,2214 E 89th St Unit 2,2214 E 89th St,Unit 2,Cleveland,OH,44106,2.0,1.0,1.0,1245.0,2024.0,1,1850.0,2024-10-03,,,,True,,1.0,41.497963,-81.62484,Fairfax,Cuyahoga,39035.0,,,,Cleveland Metropolitan School District,0.958509162462623,17.83132530120482
19,https://www.realtor.com/rentals/details/4195-W-22nd-St_Cleveland_OH_44109_M43053-92924,4305392924,2973226846,NEOH,5075189,FOR_RENT,"4195 W 22ND ST | DN, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 900 rent / $ 900 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals).// Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: N/A // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,4195 W 22nd St Unit 1 /Dn,4195 W 22nd St,Unit 1 /Dn,Cleveland,OH,44109,2.0,1.0,,831.0,1920.0,1,900.0,2024-10-03,78000.0,22720.0,157000.0,False,,1.0,41.441654,-81.698836,Old Brooklyn,Cuyahoga,39035.0,2.0,0.0,1.0,Cleveland Metropolitan School District,6.381541502031111,12.99638989169675
20,https://www.realtor.com/rentals/details/2344-Prospect-Ave-E-Apt-211_Cleveland_OH_44115_M96074-58660,9607458660,2973199229,AVAL,61198867,FOR_RENT,"We are located across the street of the Cleveland State University Campus. 2344 Prospect Ave. You can rent these units FURNISHED or UNFURNISHED. All Utilities are included IN RENT. All you are responsible for is Cable and Internet. Quick access to public transportation, Next to E LINE TROLLEY. Takes you to all downtown attractions. We offer short 3-month leases. Milton Manor Apartments. No appointment is needed. Our office hours are, Mon-Fri 10-4pm. Contact info, Phone: Website: MiltonManor.us Email:",APARTMENT,2344 Prospect Ave E Apt 211,2344 Prospect Ave,Apt 211,Cleveland,OH,44115,1.0,1.0,,600.0,,1,940.0,2024-10-03,,,,False,,2.0,41.500053,-81.672493,"Downtown Cleveland, Campus District, CSU - Euclid Corridor",Cuyahoga,39035.0,,,,"Cleveland Metropolitan School District, Invictus High School School District",3.338061066561084,18.8
22,https://www.realtor.com/rentals/details/19514-Pawnee-Ave_Cleveland_OH_44119_M37751-19381,3775119381,2973208551,NEOH,5074667,FOR_RENT,"Just Updated SFR ready for RENT! 4-bedroom, 2-bathroom 2 Car Garage classic colonial-style single-family home in Cleveland, Ohio. This charming residence features a spacious two-car garage, newer heater, and vinyl windows. Nestled in a prime location, it offers convenient access to nearby attractions, schools, and highways. The property also includes a well-appointed laundry room.",SINGLE_FAMILY,19514 Pawnee Ave,19514 Pawnee Ave,,Cleveland,OH,44119,4.0,2.0,,2570.0,1910.0,1,1450.0,2024-10-03,72000.0,20480.0,114000.0,False,5001.0,1.0,41.588451,-81.54285,North Collinwood,Cuyahoga,39035.0,2.0,0.0,2.0,"Lakeshore Intergenerational School, Cleveland Metropolitan School District, New Day Academy Boarding & Day School",6.728738092260464,6.770428015564202
23,https://www.realtor.com/rentals/details/15815-Parkgrove-Ave_Cleveland_OH_44110_M41047-77578,4104777578,2973202911,NEOH,5075006,FOR_RENT,"15815 Parkgrove Ave | UP, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 975 rent / $ 975 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Fridge // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,15815 Parkgrove /Up Ave Unit 2,15815 Parkgrove /Up Ave,Unit 2,Cleveland,OH,44110,2.0,1.0,,780.0,1920.0,1,975.0,2024-10-03,60000.0,19610.0,132557.0,False,,1.0,41.575136,-81.570124,North Collinwood,Cuyahoga,39035.0,2.0,0.0,1.0,Cleveland Metropolitan School District,5.276043526634351,15.0
24,https://www.realtor.com/rentals/details/1499-Maplegrove-Rd_Cleveland_OH_44121_M48894-97900,4889497900,2973145576,NEOH,5074684,FOR_RENT,"For Rent $1950/mo, will accept CMHA - Newly Renovated 3 bed Colonial. Entertain guests effortlessly in the expansive kitchen featuring stunning white shaker cabinets, sleek granite countertops, and new stainless steel appliances. Elegant dining and living area that is perfect for intimate gatherings or casual family meals. Luxury vinyl flooring adds durability and style, while offering easy maintenance for busy lifestyles. Updated bathrooms with stylish fixtures and finishes. Partially finished basement and finished attic for additional living space. Deep backyard with endless possibilities create your dream outdoor oasis, host summer barbecues, or simply enjoy the green space. Detached one car garage providing convenient parking and additional storage space. Great location with shopping, dining, and entertainment options just a stone's throw away.",SINGLE_FAMILY,1499 Maplegrove Rd,1499 Maplegrove Rd,,Cleveland,OH,44121,3.0,1.0,1.0,1350.0,1949.0,2,1950.0,2024-10-02,37500.0,33500.0,195853.0,False,7336.0,1.0,41.518979,-81.529742,,Cuyahoga,39035.0,,0.0,1.0,"Apex Academy, Old Brook High School School District, Randall Park High School, East Academy School District, South Euclid-Lyndhurst City School District",4.204087580827254,17.333333333333332
26,https://www.realtor.com/rentals/details/15815-Parkgrove-Ave_Cleveland_OH_44110_M41047-77578,4104777578,2973200892,NEOH,5074971,FOR_RENT,"15815 Parkgrove Ave | DN, Cleveland- Spacious 2 bed 1 bath multi-family home! // $ 975 rent / $ 975 deposit // $49 application fee per adult // 1-2 pets OK in this unit. After application pre-approval, a PetScreening is required for any animals to proceed with one of our properties; a PetScreening affidavit is still required if you have no pets. (Some breed restrictions apply per HUD guidelines). // NO SMOKING // 1 time $129 non-refundable set up fee paid at lease signing // $30/month required resident benefit package; can include personal property/liability insurance for an additional $5/month for $35/month total. // After application Pre-Approval 1 applicant per household application is required to fill out a PetScreening application, before being about to proceed with placing a Reservation Fee for one of our properties. You will receive a pre-approval for your application and in order to proceed, the PetScreening is required. Even if you have NO pets - this application must be filled out. One time, non-refundable pet fee of $200-500 per animal applies to all pets & must be paid before or when you pay your first month rent. (No fee for qualified assistance animals). // Our application is processed through secure site: Findigs, and they require ID and income verification. Without this, your application will not be processed. They offer 24/7 chat support on their application directly if you have any questions. // BEDROOMS: 2 // BATHROOMS: 1 // APPLIANCES PROVIDED: Fridge and stove // UTILITIES / RESIDENT RESPONSIBILITY: Resident pays gas and electric and is responsible for snow removal. // Serious inquiries only.",MULTI_FAMILY,15815 Parkgrove /Dn Ave Unit 1,15815 Parkgrove /Dn Ave,Unit 1,Cleveland,OH,44110,2.0,1.0,,780.0,1920.0,1,975.0,2024-10-03,60000.0,19610.0,132557.0,False,,1.0,41.575136,-81.570124,North Collinwood,Cuyahoga,39035.0,2.0,0.0,1.0,Cleveland Metropolitan School District,5.276043526634351,15.0
29,https://www.realtor.com/rentals/details/2920-E-111th-St_Cleveland_OH_44104_M44748-65652,4474865652,2973131965,INGO,38417,FOR_RENT,"3 bedroom 1 bath single family home available for rent October 15, 2024. Tenant(s) responsible for electricity and natural gas. Security deposit required at lease signing is equal to one months rent. For inquiries and to schedule an in person showing, please contact Brianna with a call or a text at the Cleveland Rental Group . We do accept Section 8 / Housing Choice Voucher Program recipients. Sorry, we are not able to accept Eden vouchers at this time. Private pay tenants are encouraged to inquire about our flexible leasing options! No upfront background screening is required ahead of time. We just ask that a completed application is submitted prior to viewing. The background screening is required to be completed should you decided to move ahead with the property. We do run a credit check, but do not be discouraged if you were denied residency elsewhere. The Cleveland Rental Group understands that life happens which means your application for one of our rentals is evaluated by a human, not a computer! We screen each applicant personally and will work with each applicant to place them in one of our properties if possible. The $35.00 fee for the screening is fully refundable at your move-in date.",SINGLE_FAMILY,2920 E 111th St,2920 E 111th St,,Cleveland,OH,44104,3.0,1.0,,1008.0,,2,1595.0,2024-10-02,51746.0,5920.0,59666.0,False,,2.0,41.479437,-81.608827,Woodland Hills,Cuyahoga,39035.0,,,,"Cleveland Metropolitan School District, Randall Park High School, Cleveland Arts And Social Sciences Academy, Wings Academy 1, Wings Academy 2",1.7159788075387632,18.988095238095237
31,https://www.realtor.com/rentals/details/2037-W-11th-St-Down_Cleveland_OH_44113_M99340-71579,9934071579,2973102943,TRBO,1615813,FOR_RENT,"Located in the heart of Tremont just 500 feet from the new Metroparks' towpath! First floor. Two bedrooms, one bathroom. Beautiful stainless countertops, and newer appliances. Private front porch with views of downtown Cleveland. Approximately 700 sq. feet. Coin laundry on site. Basement storage is available. Walk to all the restaurants, bars, and coffee shops in Tremont and Ohio City! -$1400/month. Month-to-month lease. Venmo only. One month security deposit. -On-street parking. -No smoking. -No pets. A background/credit check is required ($45), proof of employment and income verification of 3 times rent. -No Evictions -No violent criminal convictions -No vouchers accepted. Available October 15th. To apply, visit TurboTenant and search for Property ID 1615813",CONDOS,2037 W 11th St Unit Down,2037 W 11th St,Unit Down,Cleveland,OH,44113,2.0,1.0,,750.0,,3,1400.0,2024-10-01,,,,False,,2.0,41.484318,-81.689041,Tremont,Cuyahoga,39035.0,,,,"Northeast Ohio College Preparatory School, Cleveland Metropolitan School District",4.405573106962575,22.4
